0,1
throws,them
them,in
doesn't,he
he,<\s>
doesn't,he
he,<\s>
are,we
we,going
are,you
you,going
take,them
them,on
with,you
you,<\s>
<s>,i
i,think
think,we
we,know
that,you
you,know
don't,you
you,<\s>
are,you
you,putting
are,you
you,going
are,we
we,<\s>
have,you
you,bought
are,we
we,going
are,we
we,going
are,we
we,<\s>
are,we
we,<\s>
how,it
it,goes
no,you
you,don't
need,you
you,don't
do,you
you,if
have,we
we,got
have,we
we,<\s>
are,we
we,getting
have,you
you,paid
have,you
you,<\s>
there,you
you,are
that,you
you,dropped
aren't,they
they,<\s>
are,you
you,going
use,them
them,for
have,you
you,got
are,you
you,going
give,it
it,to
<s>,you
you,want
willn't,he
he,<\s>
is,it
it,<\s>
willn't,she
she,<\s>
<s>,she
she,made
do,you
you,wanna
put,it
it,in
have,you
you,got
giving,them
them,all
are,you
you,<\s>
have,you
you,given
given,him
him,too
are,you
you,where
are,you
you,going
no,you
you,can't
can,you
you,<\s>
what're,you
you,going
are,you
you,<\s>
is,it
it,as_well
is,it
it,darling
is,it
it,<\s>
is,it
it,teddy
is,it
it,<\s>
is,it
it,teddy
did,we
we,see
was,he
he,called
<s>,he
he,wasn't
<s>,he
he,was
wasn't,he
he,<\s>
was,he
he,doing
was,he
he,doing
were,you
you,doing
were,you
you,throwing
aren't,they
they,<\s>
isn't,it
it,<\s>
isn't,it
it,<\s>
did,we
we,go
did,we
we,<\s>
can't,you
you,<\s>
<s>,you
you,tell
when,we
we,went
did,you
you,play
did,you
you,<\s>
did,you
you,play
were,you
you,wearing
yes,you
you,got
didn't,you
you,<\s>
did,you
you,drop
well,you
you,can
have,it
it,out
is,it
it,<\s>
told,you
you,that
didn't,he
he,<\s>
<s>,he
he,said
because,it
it,only
doesn't,it
it,<\s>
pick,you
you,up
will,she
she,<\s>
is,it
it,<\s>
what're,you
you,going
is,it
it,<\s>
do,they
they,<\s>
<s>,i
i,hope
<s>,you
you,have
haven't,you
you,<\s>
aren't,you
you,<\s>
haven't,we
we,<\s>
<s>,it
it,is
isn't,it
it,<\s>
<s>,we
we,went
didn't,we
we,<\s>
<s>,we
we,went
didn't,we
we,<\s>
<s>,it
it,goes
doesn't,it
it,<\s>
are,you
you,doing
are,you
you,sailing
is,it
it,raining
are,they
they,<\s>
yes,i
i,know
doesn't,he
he,<\s>
and,he
he,picks
picks,you
