,Unnamed: 0,file,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
193,193,HSLLD/HV1/mel,48,3.35483871,202,17,14,0,20,42,15,0.281679942,5,0,3,8,0,0,0,1,0,0,0,0,1171,122,89,0,130,187,87,8,1,0,11
194,194,HSLLD/HV1/mel,48,3.888888889,66,13,13,0,7,11,9,0.374301676,2,0,0,4,3,4,0,0,0,0,0,0,290,42,30,0,37,38,25,5,1,1,0
195,195,HSLLD/HV1/mel,48,4.630434783,228,36,13,0,26,17,9,0.247379455,7,4,18,0,0,0,0,2,0,0,0,5,219,34,17,0,32,15,4,4,0,0,22
196,196,HSLLD/HV1/mel,48,4.05,239,25,17,0,32,40,23,0.306451613,13,1,3,1,1,1,0,0,0,0,0,5,468,64,28,0,60,61,32,4,7,0,21
197,197,HSLLD/HV1/mia,49,3.387755102,157,10,6,0,23,40,11,0.301470588,3,0,0,3,0,0,0,0,0,0,0,4,753,57,41,0,83,142,76,5,5,0,13
198,198,HSLLD/HV1/mia,49,4.444444444,94,9,6,0,10,8,2,0.40942029,6,0,0,0,0,0,0,0,0,0,0,3,182,26,8,0,29,22,14,5,0,0,5
199,199,HSLLD/HV1/mia,49,3.377777778,346,37,16,0,45,42,16,0.230113636,10,5,13,0,0,0,0,1,0,0,0,8,703,79,30,0,82,81,44,3,5,0,37
200,200,HSLLD/HV1/mit,48,3.706896552,220,17,9,0,14,53,35,0.343468468,2,3,5,2,0,0,1,1,0,0,0,3,625,54,35,0,54,122,49,8,3,2,1
201,201,HSLLD/HV1/mit,48,2.857142857,22,1,1,0,0,4,1,0.555555556,1,0,0,0,0,0,0,0,0,0,0,0,86,8,3,0,9,13,5,0,0,0,0
202,202,HSLLD/HV1/mit,48,3.823529412,71,12,9,0,10,5,4,0.411371237,7,0,0,0,1,0,0,0,0,1,0,3,211,31,6,1,34,23,12,0,0,0,10
